id;name;host_id;host_name;distrito;barrio;room_type;price;minimum_nights;availability_365;superficie_km2;densidad_por_km2
28242849;Hotel in Madrid · ?4.73 · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;150;1;352;103;4334563
28243068;Hotel in Madrid · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;150;1;352;103;4334563
28243305;Hotel in Madrid · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;180;1;352;103;4334563
28243544;Hotel in Madrid · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;165;1;352;103;4334563
28243613;Hotel in Madrid · ?5.0 · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;180;1;351;103;4334563
28243710;Hotel in Madrid · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;210;1;351;103;4334563
28243786;Hotel in Madrid · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;180;1;351;103;4334563
28243895;Hotel in Madrid · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;195;1;351;103;4334563
28243956;Hotel in Madrid · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;250;1;311;103;4334563
28244081;Hotel in Madrid · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;280;1;311;103;4334563
28244214;Hotel in Madrid · 1 bedroom · 1 bed · 1 private bath;198579069;Axel Hotel Madrid - Adults Only;Centro;Embajadores;Hotel room;250;1;311;103;4334563
